# Jeddah daily weather, 2023-2024
# Source: Open-Meteo Historical Weather API (ERA5). Licence: CC-BY 4.0
# Units: temp C | humidity % | wind km/h | solar MJ/m2
date,temp_max_c,temp_min_c,humidity_pct,wind_max_kmh,solar_mj_m2
2023-02-23,27.0,19.6,73,23.6,20.28
2023-02-24,28.8,19.5,54,31.0,21.43
2023-02-25,27.9,19.5,53,26.7,21.22
2023-02-26,27.8,20.0,57,26.0,21.08
2023-02-27,28.3,20.1,63,26.7,21.17
2023-02-28,28.8,21.9,67,20.7,20.97
2023-03-01,30.6,23.3,61,23.6,21.38
2023-03-02,32.2,23.2,62,26.3,20.18
2023-03-03,30.9,23.9,63,23.5,20.87
2023-03-04,31.3,25.6,52,23.5,19.27
2023-03-05,31.3,24.6,64,20.8,20.77
2023-03-06,35.1,25.4,55,35.4,21.32
2023-03-07,34.1,24.2,56,27.0,21.81
2023-03-08,30.6,24.8,66,26.2,20.65
2023-03-09,28.7,23.1,60,37.9,22.27
2023-03-10,29.0,20.1,56,29.3,23.08
2023-03-11,29.1,22.2,61,24.5,22.31
2023-03-12,28.6,22.2,64,25.2,20.18
2023-03-13,29.6,17.6,53,28.5,24.13
2023-03-14,29.3,17.5,60,25.2,22.58
2023-03-15,28.9,22.2,65,36.7,21.6
2023-03-16,28.2,17.8,49,31.9,24.4
2023-03-17,28.6,18.2,59,28.8,23.75
2023-03-18,29.7,22.5,56,29.3,19.99
2023-03-19,30.2,21.0,47,29.1,24.09
2023-03-20,28.3,19.8,51,31.8,24.1
2023-03-21,26.3,19.0,49,28.8,23.71
2023-03-22,26.9,18.4,55,28.4,24.71
2023-03-23,27.6,17.5,61,20.5,19.84
2023-03-24,29.9,18.9,55,19.1,24.42
2023-03-25,32.1,21.8,68,36.7,18.83
2023-03-26,28.9,23.3,60,34.2,24.19
2023-03-27,28.3,19.7,60,29.5,24.46
2023-03-28,28.5,19.5,62,33.3,24.96
2023-03-29,29.4,21.1,66,25.7,24.62
2023-03-30,29.0,22.8,74,33.8,24.18
2023-03-31,27.0,21.3,65,41.5,24.93
2023-04-01,28.2,19.4,68,34.2,25.13
2023-04-02,27.8,19.8,71,29.8,25.06
2023-04-03,28.2,18.1,72,22.0,25.66
2023-04-04,30.3,18.9,59,22.8,25.16
2023-04-05,30.8,24.9,49,25.1,23.5
2023-04-06,29.2,24.1,65,30.2,22.88
2023-04-07,30.2,23.5,68,26.2,20.87
2023-04-08,34.8,27.6,46,29.9,19.89
2023-04-09,34.2,25.2,49,33.1,21.44
2023-04-10,35.7,24.9,47,34.8,22.16
2023-04-11,36.7,27.0,52,47.0,24.91
2023-04-12,30.6,23.7,59,42.2,20.88
2023-04-13,29.3,22.6,42,42.0,21.6
2023-04-14,31.1,22.5,63,20.9,24.29
2023-04-15,30.5,25.0,69,19.5,24.29
2023-04-16,30.7,25.4,68,20.8,24.34
2023-04-17,31.0,24.9,66,25.5,24.74
2023-04-18,32.6,25.4,61,23.5,24.98
2023-04-19,33.4,25.6,58,24.0,24.33
2023-04-20,33.3,27.3,48,24.3,25.35
2023-04-21,35.2,25.9,51,28.7,22.54
2023-04-22,33.0,25.3,58,21.1,25.64
2023-04-23,36.7,26.7,60,36.5,25.07
2023-04-24,36.5,26.4,60,22.2,24.85
2023-04-25,36.9,27.2,47,28.3,25.49
2023-04-26,32.5,24.4,64,28.4,25.68
2023-04-27,32.9,25.1,53,31.3,25.2
2023-04-28,32.9,26.2,46,26.9,24.61
2023-04-29,34.0,23.7,39,34.5,26.56
2023-04-30,32.5,24.1,50,37.3,26.32
2023-05-01,30.5,22.7,60,32.8,26.23
2023-05-02,31.0,22.8,63,32.6,25.74
2023-05-03,31.7,22.4,66,32.9,26.33
2023-05-04,31.4,22.6,67,29.5,26.23
2023-05-05,32.5,22.1,55,22.5,26.64
2023-05-06,35.5,26.3,39,27.2,26.54
2023-05-07,33.9,24.5,51,38.1,26.34
2023-05-08,33.1,26.3,51,37.2,26.0
2023-05-09,31.2,24.8,52,35.1,26.33
2023-05-10,31.7,21.8,60,29.7,26.61
2023-05-11,33.9,23.8,46,23.7,26.35
2023-05-12,34.5,22.9,43,22.7,26.92
2023-05-13,34.4,24.5,66,24.6,26.23
2023-05-14,31.8,24.8,73,29.8,25.88
2023-05-15,32.5,24.1,65,18.1,25.68
2023-05-16,33.2,25.8,65,18.9,26.02
2023-05-17,35.4,26.1,60,21.4,25.78
2023-05-18,34.9,26.8,63,22.9,25.71
2023-05-19,33.8,26.8,59,24.6,26.45
2023-05-20,33.1,26.4,61,36.9,25.56
2023-05-21,32.7,24.4,57,34.6,26.63
2023-05-22,34.2,23.7,50,21.7,25.74
2023-05-23,34.6,27.4,46,23.7,25.71
2023-05-24,35.7,28.1,50,22.0,25.35
2023-05-25,34.4,28.2,62,22.7,25.53
2023-05-26,34.3,28.3,61,23.4,25.91
2023-05-27,35.4,27.4,61,26.1,25.51
2023-05-28,40.0,29.6,47,40.4,24.92
2023-05-29,38.7,29.0,49,31.1,22.65
2023-05-30,36.8,28.5,61,25.6,24.88
2023-05-31,34.1,27.7,70,30.6,25.33
2023-06-01,35.3,27.8,52,26.6,25.48
2023-06-02,36.3,28.8,49,29.3,24.85
2023-06-03,36.4,30.1,47,22.1,25.39
2023-06-04,35.5,29.6,58,24.1,25.09
2023-06-05,36.1,29.3,58,22.0,25.1
2023-06-06,35.4,28.4,71,22.6,25.47
2023-06-07,35.4,29.0,71,26.3,20.38
2023-06-08,36.2,28.0,57,29.3,25.9
2023-06-09,36.0,28.7,51,26.0,25.8
2023-06-10,36.3,28.4,61,28.8,25.59
2023-06-11,35.5,28.5,63,29.0,25.4
2023-06-12,36.3,29.3,51,31.8,25.39
2023-06-13,35.7,27.6,55,31.1,26.09
2023-06-14,35.1,26.7,66,23.7,25.64
2023-06-15,35.1,28.4,63,28.8,25.59
2023-06-16,37.3,28.0,55,30.0,25.69
2023-06-17,36.8,27.5,57,26.5,26.34
2023-06-18,35.6,26.7,67,27.5,25.44
2023-06-19,34.6,28.4,65,26.5,25.58
2023-06-20,34.9,27.9,63,37.9,25.68
2023-06-21,34.7,28.4,54,34.1,25.02
2023-06-22,35.5,27.6,58,32.1,25.7
2023-06-23,34.6,27.9,52,32.6,25.66
2023-06-24,35.3,28.4,56,27.9,25.46
2023-06-25,35.0,28.4,53,34.4,25.61
2023-06-26,35.7,29.4,48,40.2,24.9
2023-06-27,35.1,29.4,49,41.5,25.61
2023-06-28,35.1,27.4,51,40.8,25.67
2023-06-29,35.1,27.9,51,39.9,25.65
2023-06-30,33.7,28.0,54,36.5,23.2
2023-07-01,34.2,26.7,57,25.1,24.86
2023-07-02,36.1,27.1,56,25.0,25.2
2023-07-03,35.9,26.8,58,26.6,25.39
2023-07-04,34.4,26.8,60,23.6,25.14
2023-07-05,34.3,28.0,56,26.2,25.59
2023-07-06,36.4,27.4,56,34.6,25.08
2023-07-07,34.6,29.3,55,31.6,25.5
2023-07-08,34.7,27.2,58,25.1,25.4
2023-07-09,36.0,27.6,55,26.4,25.32
2023-07-10,37.1,27.3,54,30.3,25.4
2023-07-11,37.3,28.3,48,29.3,25.31
2023-07-12,34.5,29.3,56,34.8,20.24
2023-07-13,35.5,28.9,56,38.0,25.0
2023-07-14,37.3,29.9,57,23.0,23.5
2023-07-15,35.9,29.0,61,27.8,24.69
2023-07-16,36.5,28.0,68,16.9,24.73
2023-07-17,35.9,29.2,56,29.0,19.49
2023-07-18,36.5,29.9,50,25.7,23.46
2023-07-19,37.0,31.0,48,23.4,24.79
2023-07-20,37.8,28.7,51,29.1,25.3
2023-07-21,35.7,30.4,47,29.3,25.24
2023-07-22,35.9,28.8,57,25.8,25.4
2023-07-23,37.0,27.1,59,22.7,25.32
2023-07-24,39.4,28.7,35,22.1,25.46
2023-07-25,40.3,27.9,45,23.0,25.39
2023-07-26,41.1,28.9,43,28.8,24.94
2023-07-27,39.4,30.1,44,30.0,23.78
2023-07-28,38.9,30.4,44,32.6,25.13
2023-07-29,39.7,29.8,36,29.6,25.22
2023-07-30,37.3,28.9,60,18.8,25.2
2023-07-31,38.2,29.1,61,22.8,25.2
2023-08-01,38.2,28.9,57,31.5,25.2
2023-08-02,38.3,28.9,43,22.7,24.94
2023-08-03,37.2,29.2,53,31.5,25.04
2023-08-04,36.8,28.7,58,31.0,24.8
2023-08-05,38.0,29.8,55,28.0,24.81
2023-08-06,39.2,30.3,48,26.5,24.66
2023-08-07,37.3,28.9,49,26.8,24.91
2023-08-08,37.0,28.3,46,24.5,25.06
2023-08-09,37.2,27.0,57,24.7,24.97
2023-08-10,37.6,28.8,62,32.4,24.66
2023-08-11,36.2,29.5,59,30.7,24.84
2023-08-12,35.8,29.2,65,28.7,23.95
2023-08-13,35.6,28.2,71,22.3,24.09
2023-08-14,35.7,28.3,71,19.2,23.88
2023-08-15,35.5,30.2,75,27.4,23.85
2023-08-16,35.6,30.0,76,27.3,21.67
2023-08-17,36.5,31.4,75,29.7,19.77
2023-08-18,36.6,31.3,70,26.3,23.26
2023-08-19,36.1,30.0,75,20.4,23.74
2023-08-20,36.1,29.4,73,24.7,23.99
2023-08-21,36.4,30.4,77,21.7,20.95
2023-08-22,36.5,31.3,73,23.0,21.1
2023-08-23,38.0,30.7,63,25.7,23.52
2023-08-24,36.0,30.4,75,23.1,23.71
2023-08-25,35.7,29.5,78,22.6,23.59
2023-08-26,35.7,29.7,79,23.2,22.96
2023-08-27,35.3,30.8,77,23.8,21.69
2023-08-28,36.7,31.3,68,28.9,20.57
2023-08-29,37.1,29.0,62,27.1,23.52
2023-08-30,36.8,29.4,67,28.5,23.63
2023-08-31,36.6,30.2,62,31.5,23.64
2023-09-01,35.7,28.5,59,26.4,22.45
2023-09-02,36.5,30.3,72,27.3,22.37
2023-09-03,35.6,29.2,80,22.6,20.89
2023-09-04,36.2,31.1,74,26.9,21.83
2023-09-05,36.1,29.2,73,29.9,23.31
2023-09-06,36.7,30.3,67,33.6,23.15
2023-09-07,42.8,28.2,64,22.0,23.0
2023-09-08,36.6,29.0,67,30.3,22.64
2023-09-09,36.0,30.0,75,25.5,22.38
2023-09-10,36.1,30.3,72,21.1,22.53
2023-09-11,35.1,29.8,76,29.2,22.44
2023-09-12,37.6,30.2,69,28.3,22.12
2023-09-13,37.3,31.4,57,39.5,22.37
2023-09-14,36.1,30.9,59,40.8,22.76
2023-09-15,35.8,30.3,66,35.7,22.19
2023-09-16,34.7,29.0,66,26.6,22.6
2023-09-17,36.0,29.0,71,30.1,22.24
2023-09-18,35.2,29.2,66,25.8,21.85
2023-09-19,35.2,29.0,61,32.8,21.6
2023-09-20,35.4,30.4,56,34.6,21.26
2023-09-21,35.0,30.5,60,35.6,21.17
2023-09-22,35.0,28.3,62,36.2,21.68
2023-09-23,35.0,27.1,73,22.4,22.17
2023-09-24,35.4,26.8,78,28.3,22.11
2023-09-25,34.5,27.0,78,26.4,21.88
2023-09-26,35.2,27.9,75,25.4,21.74
2023-09-27,35.2,29.9,71,22.7,20.56
2023-09-28,35.2,30.6,72,25.1,21.05
2023-09-29,34.8,28.5,72,25.0,21.58
2023-09-30,35.0,27.2,73,19.5,21.68
2023-10-01,35.2,27.3,78,21.1,21.26
2023-10-02,34.2,27.7,81,22.4,21.23
2023-10-03,34.5,28.0,79,22.7,21.14
2023-10-04,34.2,27.8,80,23.7,21.37
2023-10-05,34.8,27.8,82,25.6,21.06
2023-10-06,35.3,26.9,76,25.0,21.0
2023-10-07,34.1,27.3,77,22.4,21.02
2023-10-08,36.0,26.8,78,31.0,20.47
2023-10-09,40.6,27.3,64,33.3,21.37
2023-10-10,34.8,26.6,66,27.9,20.8
2023-10-11,34.0,27.2,76,27.0,20.27
2023-10-12,34.5,27.1,78,28.1,19.58
2023-10-13,34.2,27.0,80,29.0,20.32
2023-10-14,34.3,27.4,78,21.5,20.04
2023-10-15,33.8,26.9,75,20.3,20.26
2023-10-16,33.8,27.1,73,23.5,20.03
2023-10-17,33.5,27.5,69,26.8,20.06
2023-10-18,33.9,26.2,67,26.4,20.02
2023-10-19,33.7,25.8,62,19.8,19.94
2023-10-20,33.4,26.1,66,22.2,19.85
2023-10-21,32.8,25.1,71,23.7,19.87
2023-10-22,33.0,26.5,76,21.3,19.27
2023-10-23,34.1,26.7,66,24.1,18.84
2023-10-24,34.4,26.3,61,22.5,19.4
2023-10-25,34.6,26.0,67,18.8,19.32
2023-10-26,35.2,27.4,55,19.1,19.31
2023-10-27,33.7,27.7,68,21.0,18.1
2023-10-28,33.7,26.6,67,21.1,16.47
2023-10-29,32.2,24.7,70,30.8,16.05
2023-10-30,32.9,25.8,66,19.3,17.79
2023-10-31,33.9,26.8,63,26.0,17.75
2023-11-01,34.0,27.6,62,25.1,17.47
2023-11-02,33.7,27.6,65,20.2,17.02
2023-11-03,33.3,27.6,68,15.9,15.83
2023-11-04,33.7,27.0,64,23.3,18.2
2023-11-05,32.8,26.8,74,18.9,17.46
2023-11-06,32.8,26.8,72,19.8,17.13
2023-11-07,32.4,27.3,64,25.3,15.29
2023-11-08,35.4,26.5,58,22.2,17.29
2023-11-09,33.1,27.4,65,22.1,15.61
2023-11-10,31.9,26.9,68,18.4,12.66
2023-11-11,33.4,25.0,61,24.8,17.29
2023-11-12,33.4,25.2,67,21.5,17.25
2023-11-13,33.3,26.0,65,20.6,16.66
2023-11-14,33.1,26.2,67,19.6,15.99
2023-11-15,29.8,24.8,76,17.2,11.7
2023-11-16,31.8,24.9,63,27.9,17.39
2023-11-17,34.4,23.7,59,27.4,16.95
2023-11-18,32.7,24.9,68,18.1,16.79
2023-11-19,29.3,24.1,79,21.8,13.19
2023-11-20,29.2,23.5,76,20.5,15.27
2023-11-21,28.8,22.7,65,30.6,16.35
2023-11-22,31.7,22.8,66,20.8,16.43
2023-11-23,31.8,24.4,77,18.4,14.41
2023-11-24,32.0,25.2,73,15.8,15.89
2023-11-25,33.1,25.0,72,20.9,16.36
2023-11-26,32.0,24.2,76,20.1,16.16
2023-11-27,32.0,25.1,74,26.8,16.02
2023-11-28,31.5,24.2,68,33.1,16.31
2023-11-29,30.9,23.3,72,17.9,16.3
2023-11-30,31.7,24.0,71,16.3,15.82
2023-12-01,32.2,25.0,71,22.5,15.94
2023-12-02,31.4,25.0,75,24.4,15.57
2023-12-03,31.4,24.9,73,18.6,12.07
2023-12-04,32.5,22.5,67,24.2,15.75
2023-12-05,32.1,24.1,74,24.0,14.7
2023-12-06,31.5,24.0,76,24.3,12.65
2023-12-07,31.6,22.2,72,24.0,16.12
2023-12-08,30.1,21.7,74,15.5,15.61
2023-12-09,32.3,24.5,65,27.4,15.4
2023-12-10,31.5,22.5,69,17.8,14.76
2023-12-11,31.5,24.6,66,24.9,15.11
2023-12-12,31.2,23.1,72,33.3,13.78
2023-12-13,26.9,21.0,60,31.7,15.92
2023-12-14,32.3,19.7,35,33.0,16.73
2023-12-15,33.4,22.6,37,31.2,16.14
2023-12-16,31.4,21.4,49,17.8,16.14
2023-12-17,31.3,21.1,52,21.7,16.13
2023-12-18,30.1,20.3,57,22.7,16.12
2023-12-19,31.2,20.8,67,22.2,15.21
2023-12-20,31.8,23.4,59,23.4,15.15
2023-12-21,32.3,23.7,66,29.4,14.82
2023-12-22,31.8,23.9,69,37.1,14.91
2023-12-23,26.7,22.1,68,28.8,9.19
2023-12-24,27.1,20.2,57,28.4,15.5
2023-12-25,27.8,20.8,56,25.0,15.47
2023-12-26,29.6,22.0,61,19.8,15.1
2023-12-27,27.8,21.6,74,26.2,12.63
2023-12-28,24.7,21.6,85,15.6,10.17
2023-12-29,26.8,21.3,75,24.1,13.98
2023-12-30,27.4,20.4,66,23.5,15.37
2023-12-31,28.1,19.1,54,21.2,16.48
2024-01-01,29.6,19.4,56,26.6,15.98
2024-01-02,28.6,21.1,64,23.6,14.98
2024-01-03,27.9,20.5,60,26.8,16.28
2024-01-04,29.2,20.6,59,19.4,15.91
2024-01-05,27.7,21.2,69,25.3,15.32
2024-01-06,29.8,21.2,65,27.0,15.58
2024-01-07,29.1,21.5,67,20.7,15.85
2024-01-08,30.1,21.5,64,23.8,16.16
2024-01-09,30.2,21.3,73,20.0,16.24
2024-01-10,30.2,22.5,73,27.4,15.63
2024-01-11,29.1,22.4,72,25.6,14.39
2024-01-12,27.8,22.1,60,29.7,16.37
2024-01-13,27.7,20.3,59,19.8,16.57
2024-01-14,28.1,20.9,70,18.7,15.47
2024-01-15,28.7,22.0,57,34.2,16.29
2024-01-16,27.9,21.6,54,36.4,16.32
2024-01-17,26.9,20.6,59,30.0,16.64
2024-01-18,27.2,19.8,59,29.7,17.31
2024-01-19,30.4,20.5,51,25.1,17.03
2024-01-20,28.8,22.1,66,17.8,16.66
2024-01-21,30.0,21.7,65,20.9,16.55
2024-01-22,30.0,21.2,71,21.3,16.84
2024-01-23,30.9,22.6,73,19.6,16.87
2024-01-24,29.6,22.7,69,31.8,17.1
2024-01-25,27.7,21.7,67,27.4,16.65
2024-01-26,23.5,20.3,63,33.7,8.49
2024-01-27,25.0,18.9,58,26.6,12.2
2024-01-28,25.5,18.9,55,33.7,13.7
2024-01-29,25.5,19.8,55,30.7,13.48
2024-01-30,25.7,19.2,55,32.2,17.06
2024-01-31,25.7,17.6,55,33.2,18.51
2024-02-01,24.6,17.9,52,33.9,17.9
2024-02-02,23.6,16.0,44,33.8,18.85
2024-02-03,24.9,17.3,49,31.7,18.7
2024-02-04,25.4,17.4,48,31.4,18.86
2024-02-05,25.6,18.5,51,35.0,17.44
2024-02-06,26.3,18.2,50,32.7,18.75
2024-02-07,29.4,19.4,54,22.7,16.81
2024-02-08,28.1,21.7,66,20.7,15.76
2024-02-09,28.7,21.0,75,26.1,17.6
2024-02-10,27.3,21.6,72,26.3,17.56
2024-02-11,28.3,16.8,59,29.4,20.18
2024-02-12,31.5,17.3,50,19.1,19.07
2024-02-13,27.8,22.5,76,26.0,16.32
2024-02-14,30.0,23.2,79,31.4,18.73
2024-02-15,26.7,23.0,88,24.6,15.97
2024-02-16,25.6,19.4,68,34.1,20.17
2024-02-17,25.7,17.2,53,35.6,20.87
2024-02-18,26.9,17.7,55,37.5,21.0
2024-02-19,27.1,19.5,62,34.8,19.58
2024-02-20,26.6,17.9,62,33.3,19.93
2024-02-21,28.4,20.0,58,27.9,20.17
2024-02-22,29.1,21.0,64,24.7,20.2
2024-02-23,31.1,23.0,65,21.2,20.44
2024-02-24,31.2,23.2,69,31.3,20.4
2024-02-25,29.3,22.0,63,35.9,20.81
2024-02-26,27.8,19.9,65,28.0,21.42
2024-02-27,28.2,20.7,64,28.6,21.76
2024-02-28,29.3,17.7,58,33.0,22.15
2024-02-29,30.3,18.5,55,27.2,22.43
2024-03-01,33.0,20.3,46,25.8,21.62
2024-03-02,29.6,23.7,65,20.5,20.01
2024-03-03,29.3,23.8,68,30.4,21.22
2024-03-04,29.4,20.5,66,32.6,22.4
2024-03-05,28.6,20.1,65,25.7,21.65
2024-03-06,28.5,22.8,71,27.5,21.76
2024-03-07,29.4,18.0,68,36.0,22.97
2024-03-08,27.8,19.5,69,32.3,23.25
2024-03-09,28.8,18.8,62,29.5,23.2
2024-03-10,31.9,17.6,65,29.2,23.07
2024-03-11,30.4,22.5,74,18.8,22.34
2024-03-12,31.8,22.8,71,20.9,22.56
2024-03-13,32.5,24.5,64,24.1,22.42
2024-03-14,34.0,25.3,70,32.7,22.49
2024-03-15,30.5,24.5,74,29.5,22.19
2024-03-16,32.6,24.3,60,28.0,21.28
2024-03-17,35.0,27.6,43,26.1,18.19
2024-03-18,35.0,26.8,47,39.6,9.03
2024-03-19,27.0,22.8,60,37.1,13.48
2024-03-20,28.2,19.7,52,36.6,23.42
2024-03-21,29.1,22.2,68,31.2,23.03
2024-03-22,29.2,23.3,65,30.7,23.27
2024-03-23,30.1,22.0,56,32.2,23.52
2024-03-24,28.1,22.4,49,31.7,23.32
2024-03-25,29.2,18.3,32,32.8,25.05
2024-03-26,27.9,19.2,56,27.9,24.91
2024-03-27,28.6,19.7,69,27.4,24.44
2024-03-28,32.4,22.8,53,27.0,21.62
2024-03-29,32.8,24.7,70,35.7,20.71
2024-03-30,30.4,23.8,73,23.3,23.33
2024-03-31,30.5,24.0,70,25.1,24.12
2024-04-01,31.6,24.5,61,20.8,22.41
2024-04-02,31.0,22.3,65,31.9,23.18
2024-04-03,31.8,23.1,67,22.8,24.45
2024-04-04,33.4,23.1,55,23.9,24.72
2024-04-05,33.4,25.6,52,19.1,23.71
2024-04-06,33.7,26.1,54,22.3,23.49
2024-04-07,32.4,26.8,59,30.8,23.22
2024-04-08,31.5,24.8,56,34.0,17.24
2024-04-09,33.0,24.2,43,33.1,24.59
2024-04-10,33.3,22.6,41,36.4,25.88
2024-04-11,30.9,23.7,46,36.6,25.72
2024-04-12,29.8,21.9,67,31.8,25.22
2024-04-13,29.8,20.6,72,31.1,25.99
2024-04-14,29.8,20.5,71,29.1,26.29
2024-04-15,29.6,20.0,70,26.5,25.86
2024-04-16,30.3,20.1,65,33.1,26.25
2024-04-17,35.0,22.3,54,25.6,26.41
2024-04-18,31.9,23.8,57,21.8,25.93
2024-04-19,35.2,23.9,54,28.7,25.8
2024-04-20,32.4,22.3,65,25.8,26.15
2024-04-21,32.2,21.9,59,32.9,26.36
2024-04-22,31.6,20.5,60,27.0,26.52
2024-04-23,38.5,23.9,46,32.5,26.02
2024-04-24,34.1,24.3,63,24.8,25.51
2024-04-25,35.6,26.0,49,25.4,24.99
2024-04-26,38.7,28.0,42,28.9,24.59
2024-04-27,36.0,25.2,51,38.4,25.09
2024-04-28,34.9,25.7,54,16.7,25.11
2024-04-29,35.3,24.8,55,38.5,23.64
2024-04-30,33.5,24.5,61,26.7,24.94
2024-05-01,32.2,25.6,63,30.9,26.08
2024-05-02,32.0,21.8,63,29.1,26.72
2024-05-03,31.4,21.3,64,25.7,26.41
2024-05-04,32.0,21.8,71,23.7,26.42
2024-05-05,32.0,21.3,71,25.9,26.5
2024-05-06,33.7,23.3,51,25.6,26.32
2024-05-07,33.8,24.9,46,36.0,26.53
2024-05-08,32.1,24.0,58,33.6,26.3
2024-05-09,32.8,23.6,65,26.4,26.07
2024-05-10,34.4,25.2,52,21.1,25.37
2024-05-11,35.2,28.3,51,21.1,25.3
2024-05-12,36.3,29.3,52,19.5,25.52
2024-05-13,33.4,28.2,63,32.9,25.41
2024-05-14,32.9,26.5,60,37.4,26.1
2024-05-15,32.1,25.3,62,34.7,25.97
2024-05-16,31.5,24.1,65,30.3,26.17
2024-05-17,32.3,23.7,73,29.3,26.22
2024-05-18,35.6,25.1,66,21.6,25.75
2024-05-19,34.9,26.0,65,18.7,25.74
2024-05-20,35.1,26.8,68,25.5,25.56
2024-05-21,35.5,26.6,66,18.9,25.17
2024-05-22,34.6,24.7,66,24.0,26.37
2024-05-23,33.5,24.7,71,25.5,26.29
2024-05-24,34.0,25.1,72,22.0,25.91
2024-05-25,34.6,25.8,67,34.1,26.05
2024-05-26,33.4,26.0,65,32.9,26.37
2024-05-27,32.6,24.2,71,27.1,26.46
2024-05-28,34.7,24.2,61,25.8,26.2
2024-05-29,36.6,26.9,54,35.9,25.74
2024-05-30,37.5,29.6,45,41.6,26.34
2024-05-31,35.1,29.1,50,41.9,26.04
2024-06-01,33.2,28.4,60,39.5,25.98
2024-06-02,33.8,26.0,68,21.9,25.77
2024-06-03,34.2,27.2,69,22.6,25.68
2024-06-04,34.3,26.9,63,21.4,25.5
2024-06-05,34.5,26.6,62,22.3,26.03
2024-06-06,38.2,25.7,62,27.9,26.13
2024-06-07,36.6,27.2,54,20.6,25.98
2024-06-08,39.4,26.9,53,24.3,25.93
2024-06-09,36.1,27.6,51,19.9,24.95
2024-06-10,35.1,28.4,58,33.2,25.16
2024-06-11,35.0,28.4,51,34.0,25.25
2024-06-12,35.0,28.6,54,34.8,25.83
2024-06-13,34.7,27.6,60,23.0,25.07
2024-06-14,36.6,28.2,60,27.8,25.27
2024-06-15,36.5,26.4,64,23.2,25.94
2024-06-16,35.9,26.9,64,19.4,24.15
2024-06-17,36.1,28.4,71,26.0,25.3
2024-06-18,35.9,28.8,69,23.4,25.54
2024-06-19,37.3,28.5,68,23.2,25.42
2024-06-20,35.5,27.8,72,23.8,25.47
2024-06-21,35.4,28.6,68,23.8,25.08
2024-06-22,35.6,30.5,59,35.3,18.52
2024-06-23,36.3,31.2,48,35.7,24.35
2024-06-24,36.2,29.9,49,31.9,25.43
2024-06-25,36.2,29.3,53,38.0,25.71
2024-06-26,35.4,27.1,59,23.8,25.7
2024-06-27,36.8,27.7,58,23.9,25.86
2024-06-28,39.2,27.4,48,24.0,26.04
2024-06-29,37.7,26.5,51,19.4,26.01
2024-06-30,38.0,28.8,48,24.2,25.61
2024-07-01,38.3,28.1,50,26.9,25.68
2024-07-02,36.6,28.0,58,24.5,25.64
